season,season_name,percent
20,Heroes vs. Villains,16.59
28,Cagayan,13.74
37,David vs. Goliath,10.72
16,Micronesia,8.47
7,Pearl Islands,6.46
31,Cambodia,4.62
15,China,4.5
18,Tocantins,3.91
40,Winners at War,3.61
17,Gabon,2.84
33,Millennials vs. GenX,2.78
29,San Juan del Sur,2.43
13,Cook Islands,2.31
25,Philippines,2.19
32,Kaoh Rong,1.84
9,Vanuatu,1.13
10,Palau,1.01
12,Panama,1.01
1,Borneo,0.83
4,Marquesas,0.77
27,Blood vs. Water,0.71
11,Guatemala,0.59
41,41,0.59
8,TheAmazon,0.53
30,Worlds Apart,0.53
34,Game Changers,0.53
38,Edge of Extinction,0.53
2,The Australian Outback,0.41
8,All-Stars,0.41
24,One World,0.41
3,Africa,0.36
22,Redemption Island,0.36
14,Fiji,0.3
19,Samoa,0.3
26,Caramoan,0.3
36,Ghost Island,0.3
39,Island of the Idols,0.3
5,Thailand,0.24
21,Nicaragua,0.24
23,South Pacific,0.24
35,Heroes vs. Healers vs. Hustlers,0.06
